id_transaccion,fecha,fecha_hora,producto,categoria,cantidad,precio_unitario,subtotal,descuento_pct,descuento_monto,total,region,vendedor,canal,cliente_id
TXN-00085,2023-09-07,2023-09-07 11:24:12,Soporte Laptop,Accesorios,1,39.85,39.85,20,7.97,31.88,Centro,María López,Tienda,CLI-0142
TXN-00086,2023-12-15,2023-12-15 16:17:52,Micrófono USB,Audio,1,74.05,74.05,15,11.11,62.94,Norte,Sofía Martínez,App Móvil,CLI-0297
TXN-00087,2024-04-02,2024-04-02 14:21:35,Adaptador WiFi,Componentes,3,24.94,74.82000000000001,0,0.0,74.82,Centro,Laura Sánchez,Teléfono,CLI-0165
TXN-00088,2024-08-08,2024-08-08 21:26:02,Soporte Laptop,Accesorios,2,37.5,75.0,5,3.75,71.25,Este,Roberto Díaz,Teléfono,CLI-0198
TXN-00089,2024-05-22,2024-05-22 04:32:37,Adaptador WiFi,Componentes,4,26.45,105.8,0,0.0,105.8,Este,Carlos Ruiz,Teléfono,CLI-0052
TXN-00090,2023-05-28,2023-05-28 19:09:04,Hub USB-C,Accesorios,2,54.09,108.18,0,0.0,108.18,Oeste,Sofía Martínez,App Móvil,CLI-0204
TXN-00091,2024-11-21,2024-11-21 12:20:40,Adaptador WiFi,Componentes,1,22.89,22.89,10,2.29,20.6,Oeste,Ana García,Tienda,CLI-0121
TXN-00092,2023-08-21,2023-08-21 15:06:48,Adaptador WiFi,Componentes,3,25.91,77.73,10,7.77,69.96,Norte,Roberto Díaz,Online,CLI-0154
TXN-00093,2023-02-27,2023-02-27 14:27:09,Mousepad Gaming,Accesorios,3,18.11,54.33,10,5.43,48.9,Sur,Laura Sánchez,Online,CLI-0088
TXN-00094,2024-09-26,2024-09-26 16:58:37,Teclado Mecánico,Accesorios,2,82.41,164.82,15,24.72,140.1,Sur,Juan Pérez,Teléfono,CLI-0131
TXN-00095,2024-04-21,2024-04-21 21:34:10,RAM 16GB,Componentes,3,76.08,228.24,0,0.0,228.24,Norte,Roberto Díaz,App Móvil,CLI-0154
TXN-00096,2024-04-12,2024-04-12 06:24:54,Adaptador WiFi,Componentes,2,27.3,54.6,10,5.46,49.14,Oeste,Carlos Ruiz,Online,CLI-0196
TXN-00097,2024-12-17,2024-12-17 19:25:17,Cable HDMI,Cables,2,12.62,25.24,10,2.52,22.72,Norte,Ana García,Teléfono,CLI-0147
TXN-00098,2023-12-27,2023-12-27 12:39:16,Micrófono USB,Audio,2,74.17,148.34,30,44.5,103.84,Sur,Carlos Ruiz,Tienda,CLI-0159
TXN-00099,2024-01-09,2024-01-09 10:58:18,Micrófono USB,Audio,1,69.16,69.16,30,20.75,48.41,Este,Laura Sánchez,Online,CLI-0103
TXN-00100,2024-06-27,2024-06-27 13:53:10,Teclado Mecánico,Accesorios,1,95.15,95.15,10,9.52,85.63,Este,Roberto Díaz,App Móvil,CLI-0174
TXN-00101,2023-05-25,2023-05-25 12:55:43,Micrófono USB,Audio,1,64.6,64.6,0,0.0,64.6,Oeste,Diego Torres,Tienda,CLI-0203
TXN-00102,2024-04-10,2024-04-10 20:43:16,Laptop HP,Computadoras,2,857.59,1715.18,0,0.0,1715.18,Centro,Laura Sánchez,App Móvil,CLI-0056
TXN-00103,2024-09-26,2024-09-26 17:20:58,Adaptador WiFi,Componentes,1,23.66,23.66,0,0.0,23.66,Centro,Juan Pérez,Tienda,CLI-0238
TXN-00104,2023-04-30,2023-04-30 09:19:31,Mousepad Gaming,Accesorios,2,20.79,41.58,15,6.24,35.34,Norte,Carlos Ruiz,Online,CLI-0276
TXN-00105,2024-11-17,2024-11-17 22:34:26,Teclado Mecánico,Accesorios,4,87.99,351.96,10,35.2,316.76,Centro,María López,Teléfono,CLI-0051
TXN-00106,2023-10-14,2023-10-14 14:13:28,Soporte Laptop,Accesorios,1,39.9,39.9,15,5.98,33.92,Oeste,Juan Pérez,App Móvil,CLI-0051
TXN-00107,2023-03-04,2023-03-04 12:07:54,Adaptador WiFi,Componentes,2,24.33,48.66,10,4.87,43.79,Oeste,Carlos Ruiz,Online,CLI-0011
TXN-00108,2023-05-09,2023-05-09 12:04:53,Laptop HP,Computadoras,3,951.61,2854.83,5,142.74,2712.09,Centro,Juan Pérez,Online,CLI-0120
TXN-00109,2023-01-03,2023-01-03 11:08:34,Auriculares Bluetooth,Audio,1,63.28,63.28,30,18.98,44.3,Este,María López,Tienda,CLI-0014
TXN-00110,2024-08-25,2024-08-25 11:16:03,Teclado Mecánico,Accesorios,1,81.26,81.26,5,4.06,77.2,Sur,Laura Sánchez,Tienda,CLI-0033
TXN-00111,2024-06-09,2024-06-09 16:32:14,RAM 16GB,Componentes,1,79.16,79.16,10,7.92,71.24,Centro,Ana García,App Móvil,CLI-0235
TXN-00112,2024-05-05,2024-05-05 13:43:06,Adaptador WiFi,Componentes,1,27.31,27.31,0,0.0,27.31,Oeste,Roberto Díaz,Tienda,CLI-0042
TXN-00113,2023-05-10,2023-05-10 19:37:35,Auriculares Bluetooth,Audio,4,61.29,245.16,0,0.0,245.16,Este,Laura Sánchez,App Móvil,CLI-0233
TXN-00114,2024-12-19,2024-12-19 19:41:56,Hub USB-C,Accesorios,3,51.04,153.12,0,0.0,153.12,Centro,Juan Pérez,Teléfono,CLI-0232
TXN-00115,2024-04-09,2024-04-09 20:06:20,Mousepad Gaming,Accesorios,2,18.9,37.8,10,3.78,34.02,Oeste,Diego Torres,App Móvil,CLI-0192
TXN-00116,2023-03-10,2023-03-10 10:05:27,Teclado Mecánico,Accesorios,4,93.35,373.4,20,74.68,298.72,Norte,Diego Torres,Online,CLI-0285
TXN-00117,2024-07-29,2024-07-29 10:26:22,Laptop HP,Computadoras,3,915.55,2746.6499999999996,25,686.66,2059.99,Oeste,Ana García,App Móvil,CLI-0160
TXN-00118,2023-08-06,2023-08-06 16:14:54,Auriculares Bluetooth,Audio,1,55.23,55.23,25,13.81,41.42,Norte,Diego Torres,App Móvil,CLI-0059
TXN-00119,2024-03-15,2024-03-15 19:39:43,Micrófono USB,Audio,4,66.89,267.56,5,13.38,254.18,Centro,Ana García,App Móvil,CLI-0015
TXN-00120,2023-12-14,2023-12-14 11:55:09,Teclado Mecánico,Accesorios,2,85.91,171.82,10,17.18,154.64,Centro,Laura Sánchez,Tienda,CLI-0073
TXN-00121,2023-04-04,2023-04-04 12:24:26,Disco Externo 2TB,Almacenamiento,3,92.39,277.17,0,0.0,277.17,Oeste,Diego Torres,Online,CLI-0190
TXN-00122,2024-09-02,2024-09-02 09:09:10,Webcam HD,Periféricos,4,83.54,334.16,30,100.25,233.91,Centro,Ana García,Tienda,CLI-0140
TXN-00123,2024-09-13,2024-09-13 13:13:48,RAM 16GB,Componentes,1,82.58,82.58,20,16.52,66.06,Centro,Carlos Ruiz,App Móvil,CLI-0221
TXN-00124,2024-05-13,2024-05-13 13:02:14,Mouse Logitech,Accesorios,1,28.69,28.69,30,8.61,20.08,Oeste,Ana García,Tienda,CLI-0105
TXN-00125,2023-09-19,2023-09-19 10:00:31,Webcam HD,Periféricos,1,87.11,87.11,0,0.0,87.11,Oeste,María López,Online,CLI-0195
TXN-00126,2024-07-26,2024-07-26 11:04:25,Hub USB-C,Accesorios,2,52.03,104.06,25,26.02,78.04,Norte,Laura Sánchez,Tienda,CLI-0236
TXN-00127,2024-08-12,2024-08-12 15:45:40,Mousepad Gaming,Accesorios,3,18.3,54.900000000000006,10,5.49,49.41,Oeste,Sofía Martínez,Tienda,CLI-0208
TXN-00128,2024-09-24,2024-09-24 20:58:23,Laptop HP,Computadoras,4,983.91,3935.64,0,0.0,3935.64,Norte,Laura Sánchez,Tienda,CLI-0125
TXN-00129,2023-03-22,2023-03-22 13:47:21,SSD 1TB,Almacenamiento,1,122.12,122.12,25,30.53,91.59,Sur,Diego Torres,Online,CLI-0040
TXN-00130,2024-06-06,2024-06-06 21:22:22,Hub USB-C,Accesorios,2,51.32,102.64,25,25.66,76.98,Sur,Juan Pérez,Tienda,CLI-0075
TXN-00131,2023-06-06,2023-06-06 19:04:11,Webcam HD,Periféricos,2,75.15,150.3,30,45.09,105.21,Oeste,Roberto Díaz,Teléfono,CLI-0290
TXN-00132,2023-11-27,2023-11-27 20:20:09,Adaptador WiFi,Componentes,1,25.67,25.67,30,7.7,17.97,Oeste,Carlos Ruiz,Teléfono,CLI-0227
TXN-00133,2024-08-28,2024-08-28 17:04:19,Adaptador WiFi,Componentes,1,24.0,24.0,10,2.4,21.6,Oeste,Roberto Díaz,Tienda,CLI-0030
TXN-00134,2024-10-22,2024-10-22 02:39:38,Auriculares Bluetooth,Audio,1,63.97,63.97,0,0.0,63.97,Centro,Laura Sánchez,Teléfono,CLI-0298
TXN-00135,2024-04-05,2024-04-05 18:41:12,Hub USB-C,Accesorios,5,54.53,272.65,0,0.0,272.65,Este,Roberto Díaz,Online,CLI-0032
TXN-00136,2023-03-28,2023-03-28 11:02:15,RAM 16GB,Componentes,1,73.65,73.65,10,7.37,66.28,Oeste,Roberto Díaz,Online,CLI-0187
TXN-00137,2024-02-23,2024-02-23 19:38:03,Auriculares Bluetooth,Audio,2,65.0,130.0,15,19.5,110.5,Este,Carlos Ruiz,App Móvil,CLI-0049
TXN-00138,2023-09-16,2023-09-16 19:58:38,Hub USB-C,Accesorios,3,51.77,155.31,10,15.53,139.78,Sur,Diego Torres,Tienda,CLI-0299
TXN-00139,2023-11-14,2023-11-14 22:42:25,Adaptador WiFi,Componentes,1,23.2,23.2,10,2.32,20.88,Sur,Carlos Ruiz,App Móvil,CLI-0287
TXN-00140,2023-05-11,2023-05-11 20:43:58,SSD 1TB,Almacenamiento,6,123.43,740.58,10,74.06,666.52,Centro,Carlos Ruiz,Teléfono,CLI-0261
TXN-00141,2023-07-04,2023-07-04 10:49:31,Auriculares Bluetooth,Audio,5,54.21,271.05,10,27.11,243.94,Sur,Juan Pérez,Online,CLI-0080
TXN-00142,2024-06-03,2024-06-03 20:56:33,Mouse Logitech,Accesorios,1,28.77,28.77,0,0.0,28.77,Norte,Diego Torres,Online,CLI-0193
TXN-00143,2023-06-19,2023-06-19 09:26:23,Teclado Mecánico,Accesorios,2,83.91,167.82,30,50.35,117.47,Sur,Roberto Díaz,App Móvil,CLI-0230
TXN-00144,2024-04-25,2024-04-25 06:23:43,"Monitor Samsung 27""",Monitores,1,302.03,302.03,10,30.2,271.83,Centro,Roberto Díaz,Teléfono,CLI-0145
TXN-00145,2024-03-04,2024-03-04 06:51:38,Micrófono USB,Audio,1,68.34,68.34,25,17.08,51.26,Sur,Sofía Martínez,Tienda,CLI-0247
TXN-00146,2024-12-29,2024-12-29 03:18:05,Soporte Laptop,Accesorios,1,38.96,38.96,0,0.0,38.96,Sur,Sofía Martínez,Teléfono,CLI-0263
TXN-00147,2023-08-16,2023-08-16 11:59:01,Teclado Mecánico,Accesorios,2,95.95,191.9,0,0.0,191.9,Oeste,Ana García,Teléfono,CLI-0258
TXN-00148,2024-01-19,2024-01-19 14:59:06,Auriculares Bluetooth,Audio,2,56.82,113.64,0,0.0,113.64,Este,María López,Online,CLI-0020
TXN-00149,2024-12-13,2024-12-13 22:30:28,Webcam HD,Periféricos,1,86.67,86.67,20,17.33,69.34,Centro,Ana García,Tienda,CLI-0010
TXN-00150,2024-07-15,2024-07-15 19:33:27,Webcam HD,Periféricos,1,75.44,75.44,0,0.0,75.44,Norte,Sofía Martínez,Online,CLI-0155
TXN-00151,2024-10-16,2024-10-16 16:04:07,Mouse Logitech,Accesorios,4,27.28,109.12,15,16.37,92.75,Oeste,Ana García,Online,CLI-0074
TXN-00152,2023-12-28,2023-12-28 15:11:42,Webcam HD,Periféricos,1,78.86,78.86,30,23.66,55.2,Norte,Diego Torres,Tienda,CLI-0270
TXN-00153,2024-07-21,2024-07-21 16:02:40,Hub USB-C,Accesorios,1,50.06,50.06,25,12.52,37.54,Oeste,Diego Torres,App Móvil,CLI-0009
TXN-00154,2023-09-04,2023-09-04 19:06:49,Auriculares Bluetooth,Audio,2,63.45,126.9,10,12.69,114.21,Centro,Diego Torres,Online,CLI-0023
TXN-00155,2024-12-02,2024-12-02 20:30:40,Auriculares Bluetooth,Audio,6,60.54,363.24,0,0.0,363.24,Sur,María López,Tienda,CLI-0235
TXN-00156,2023-07-24,2023-07-24 10:59:19,Laptop HP,Computadoras,1,862.81,862.81,0,0.0,862.81,Centro,Laura Sánchez,Teléfono,CLI-0130
TXN-00157,2023-10-20,2023-10-20 21:03:55,Laptop HP,Computadoras,2,945.58,1891.16,5,94.56,1796.6,Este,Sofía Martínez,Tienda,CLI-0189
TXN-00158,2024-01-31,2024-01-31 11:31:44,SSD 1TB,Almacenamiento,3,129.34,388.02,20,77.6,310.42,Oeste,Diego Torres,App Móvil,CLI-0043
TXN-00159,2024-09-08,2024-09-08 05:34:18,Disco Externo 2TB,Almacenamiento,1,88.63,88.63,15,13.29,75.34,Este,Carlos Ruiz,Tienda,CLI-0168
TXN-00160,2024-09-09,2024-09-09 11:44:28,Adaptador WiFi,Componentes,3,23.97,71.91,20,14.38,57.53,Este,Roberto Díaz,Tienda,CLI-0181
TXN-00161,2024-10-16,2024-10-16 01:04:42,Cable HDMI,Cables,1,14.28,14.28,10,1.43,12.85,Oeste,Diego Torres,Online,CLI-0016
